user	age	country	long	lat	gender	usertype
Klejpull	22	PL	19.3777599335	52.1478500366	m	average
jdponder24	-1				n	rare
Goatphase	-1				n	rare
ctb_northsound2	-1				n	power
lyletrent	-1				n	rare
missinnaiks	-1	PH	122.509475708	11.1126661301	n	rare
gecko_donut	-1				n	rare
OmenfexCarga	14	US	-98.9573364258	39.4432563782	m	rare
kamilklecina	25	PL	19.3777599335	52.1478500366	m	average
martysplace	-1				n	rare
danabnormal1946	27	UK	-2.21251177788	54.5608863831	m	average
nexusnetwork	-1				n	average
simamura	32	LV	24.8402442932	56.8687324524	m	average
the_am	-1				n	rare
BGcc	23	NL	5.52815723419	52.3422584534	m	average
VieDeces	28	MX	-102.633399963	23.9090938568	f	rare
italobrito	23	BR	-52.9731178284	-10.8104515076	m	average
crimsonryno	-1				n	rare
AntonioJavier25	24	ES	-3.55069255829	40.3960266113	m	rare
johanna--	24	FI	25.989402771	64.2885818481	f	average
andreasjkarlsso	-1				n	average
SanneKvitnes	-1				n	rare
kannybaw	-1				n	rare
am711	-1	DE	10.3822031021	51.2024650574	m	average
Qoruin	-1				n	average
jjallday25	-1				n	rare
patkusy	-1				n	rare
Berkut90	21	UK	-2.21251177788	54.5608863831	m	power
Vlad_Ivanoff	-1	RU	103.753982544	63.1251869202	m	average
Larwenia	16	DE	10.3822031021	51.2024650574	f	rare
BolstaBollox	-1				n	rare
Sibaird	-1				n	rare
hgrablewski	-1				n	rare
Pettylotta	21	DE	10.3822031021	51.2024650574	f	average
mamux23	-1	BR	-52.9731178284	-10.8104515076	f	power
The_SeeR_King	19	RU			m	
Maska2010	25	RU	103.753982544	63.1251869202	m	many
aszarapow	-1				n	rare
cbr_grind	-1				n	rare
alohanan	-1				n	rare
cscheffler	-1				n	rare
CrazyMgy	22	PL	19.3777599335	52.1478500366	f	rare
wabewawa	-1				n	rare
Mar9k_Papai	-1	RU	103.753982544	63.1251869202	m	rare
babybel_smile	-1				n	rare
detailslost	-1				n	rare
NockerEvan	-1				n	rare
antsfightdirty	29	AU	134.504119873	-25.5852413177	m	average
PreheatedLime13	-1				n	average
Tuka_Crysania	21	ES	-3.55069255829	40.3960266113	f	average
irs949	-1				n	rare
Progspawn	22	UK	-2.21251177788	54.5608863831	m	rare
Joesmuse	-1				n	rare
abraxas1516	-1				n	rare
TwistedDUO	-1	US	-98.9573364258	39.4432563782	m	rare
keabilly	-1				n	rare
h1johnston	-1				n	rare
cselinger	-1				n	rare
Blizze	102	NL	5.52815723419	52.3422584534	f	average
MaartjeT	-1				n	rare
FURIOL	32	UK	-2.21251177788	54.5608863831	m	rare
gowofosho	23	US	-98.9573364258	39.4432563782	m	average
DrChocolateMilk	-1				n	rare
Lera-Holera	-1				n	rare
gin-no-kage	19	PL	19.3777599335	52.1478500366	f	many
adamsimms	26	CA	-95.9133224487	62.8329086304	m	average
xChatxNoirx	21	CO	-73.2779693604	3.99760723114	m	rare
Butlar	19	FI	25.989402771	64.2885818481	m	many
hikarixxxx	-1	JP	139.077270508	36.2816467285	n	average
davidbrunt	-1	UK	-2.21251177788	54.5608863831	n	power
PeerGynt78	-1				n	rare
marcellaallard	-1				n	rare
hayesn	-1				n	rare
AGRANJIMENEZ1	-1				n	rare
RobinTr85	-1				n	rare
svf1972	-1				n	rare
JenWeasley	-1				n	rare
aetern1ty	-1				n	rare
colinandrews	-1				n	rare
Sukkasaku	19	FI	25.989402771	64.2885818481	f	average
PlanetRaces	-1				m	average
AaronBloom	18	UK	-2.21251177788	54.5608863831	n	average
julianwagner_	18	DE	10.3822031021	51.2024650574	m	average
AlkOrez	21	RU	103.753982544	63.1251869202	m	average
aniataa	41				f	rare
nonolu	-1				f	average
KarinJanzon	-1				n	rare
Asssurdo	22	IT	12.4938230515	42.7669792175	m	average
Gladiator79	-1				n	rare
hvpulok	-1				n	rare
Remember190376	-1	DE	10.3822031021	51.2024650574	m	rare
svsalern	25	US	-98.9573364258	39.4432563782	m	rare
SiCImpurity	-1				n	rare
el_xuxi	-1				n	rare
chris_barnes	23	HR	15.734503746	45.4443054199	m	many
Fred203	-1				n	rare
thommyludwig	-1				n	rare
BGSM	20	AU	134.504119873	-25.5852413177	m	average
Zamotek	27	CZ	15.3315010071	49.7391052246	m	average
rob812__	-1				n	rare
Ashhhhhhhhhhhh	-1				n	rare
-sophieee	22	AU	134.504119873	-25.5852413177	f	rare
Sarah1903	-1	FR	2.33826231956	46.6372795105	n	rare
TaYmCc13	-1				n	rare
gorda66	46	US	-98.9573364258	39.4432563782	f	rare
Kerosine_	23	PL	19.3777599335	52.1478500366	f	average
NatureGuru	-1				n	rare
fritz2212	61	DE	10.3822031021	51.2024650574	m	average
knick_knacks	20	PL	19.3777599335	52.1478500366	f	average
TalentedKITTY	-1				n	rare
jdorer	-1				n	rare
Safue	17	UA	31.4757823944	48.9265632629	f	rare
foug	-1				m	many
BrianRobson81	-1				n	average
Maulostcontrol	19	BR	-52.9731178284	-10.8104515076	m	average
legionbigbear	-1				n	rare
mrpink12322	-1				n	rare
ingsaf	-1				n	rare
musicalmisanthr	17	US	-98.9573364258	39.4432563782	m	rare
jrjuiliano	-1				n	rare
daboom47	-1				m	rare
cheryldeboer	-1				n	rare
davidquiros	-1				n	average
stitchycat	-1	CA	-95.9133224487	62.8329086304	f	average
hoiminn	-1	JP	139.077270508	36.2816467285	n	average
blackemperor82	25	FR	2.33826231956	46.6372795105	m	average
deimos471	48				m	rare
fizzzel	42	UK	-2.21251177788	54.5608863831	m	rare
graindepth	-1				n	rare
lana1949	-1				n	rare
aiiiii1	-1				n	rare
Ominousblood	22	AU	134.504119873	-25.5852413177	m	average
san1951	-1				n	rare
rjzero21	22	US	-98.9573364258	39.4432563782	m	average
Robertoska	21	EE	25.2416248322	58.6937446594	m	many
guidobanzi	-1				n	rare
Madozan	24	TR	34.9303398132	39.0510101318	m	average
myagaa	-1				n	rare
SarahlovesRiRi	-1	US	-98.9573364258	39.4432563782	n	rare
fancymaster	-1				n	rare
colicia0821	-1				n	rare
Tegank	17	UK	-2.21251177788	54.5608863831	f	average
KeiranShikari	20	UK	-2.21251177788	54.5608863831	n	rare
ocurtis	-1				n	rare
seanwolter	-1				n	rare
pascalscalp	41	BE	4.64150238037	50.6489639282	m	rare
JurajM	-1				n	rare
Chulles	20	BR	-52.9731178284	-10.8104515076	f	rare
jakeafus78	-1				n	average
anais2512	-1				n	rare
kamui23	21	MX	-102.633399963	23.9090938568	m	rare
Annakathrine3	-1				n	rare
Rafitchas	29	BR	-52.9731178284	-10.8104515076	m	rare
SoulScientist	-1				n	rare
ofelta_arhemor	-1				n	average
VermillionSoul	-1				f	rare
Alejandro-outro	23	CL	-71.6746749878	-35.7862281799	m	many
c_villa	31	BR	-52.9731178284	-10.8104515076	m	many
dwts85	26	US	-98.9573364258	39.4432563782	m	rare
fokron	-1				n	rare
dunc_williams	-1				n	rare
fncfly	-1				n	rare
MrKoval	23	PL	19.3777599335	52.1478500366	m	average
bsauce92	-1				n	average
Vuhu	22	UK	-2.21251177788	54.5608863831	f	power
ANobleNinja	-1				n	rare
JLivingston1970	-1	RU	103.753982544	63.1251869202	n	many
estudiodrops	-1	BR	-52.9731178284	-10.8104515076	m	average
jedrna_droska	25	PL	19.3777599335	52.1478500366	f	average
axelbouaziz	-1				n	many
slartibaarfast	-1				n	rare
Zengoalie31	-1				n	rare
Ally_LaVerdiere	-1				n	average
Monszyn	20	PL	19.3777599335	52.1478500366	m	average
golchab	-1				n	average
TheLaughingGoth	27	US	-98.9573364258	39.4432563782	f	average
djabyss84	27	UK	-2.21251177788	54.5608863831	m	average
rampagingmurloc	-1	US	-98.9573364258	39.4432563782	n	average
klunke	18	DK	9.55590724945	56.1017608643	m	many
DiscouragedDays	25	UK	-2.21251177788	54.5608863831	m	average
Yellow_day_	16	RU	103.753982544	63.1251869202	f	rare
Margri3	21				n	rare
tdola2	-1				n	rare
cannibalroses	20	UK	-2.21251177788	54.5608863831	f	many
kalije	-1				n	rare
Ant0n	23	PL	19.3777599335	52.1478500366	m	many
Stapelfeldt	27	DE	10.3822031021	51.2024650574	m	average
Alexddr	-1				n	rare
merimeit	-1				n	rare
SiuulAs	21	PL	19.3777599335	52.1478500366	f	average
hyourinko	19	US	-98.9573364258	39.4432563782	f	rare
bulldogarf	-1				n	average
Gustav_Geier	-1				n	average
borgesrb	33	BR	-52.9731178284	-10.8104515076	m	power
Ahin12	-1	KR	127.024612	37.5326	n	many
katykel	-1				n	rare
adrien-butaud	-1				n	rare
GoooooDmen5	-1				n	rare
adrayan	-1				n	rare
jadey_baby91	-1				n	rare
felipedalcin	-1				n	rare
oOTheGuardianOo	-1				n	rare
Marco_BM	24	DE	10.3822031021	51.2024650574	m	rare
alba-vs	20	ES	-3.55069255829	40.3960266113	f	rare
skeevymcevie	-1				n	rare
Pollo-man	22	MX	-102.633399963	23.9090938568	m	average
JakeNJones	21	US	-98.9573364258	39.4432563782	m	rare
Toke24-7	-1				n	rare
petrushin_sky	21	UA	31.4757823944	48.9265632629	m	average
Marbe27	-1				n	average
annisenn	23	LT	23.870923996	55.3387184143	f	average
anniehilation	22	US	-98.9573364258	39.4432563782	f	average
herzlost	25	RU	103.753982544	63.1251869202	n	average
alfredolon	-1	UK	-2.21251177788	54.5608863831	n	rare
gustavoepatino	-1				n	rare
covid	-1				n	rare
mattcad	-1				n	rare
neubopmusique	-1				n	rare
nothinon	18	BR	-52.9731178284	-10.8104515076	m	power
skelley173	-1				n	rare
Richterprodukt	-1	DE	10.3822031021	51.2024650574	m	average
slurperer	-1				n	rare
slipper70	-1				n	rare
Geoman007	-1				n	rare
Tricoidal	-1	US	-98.9573364258	39.4432563782	m	average
christopheeer	18	BR			m	
vrobinson0304	-1				n	rare
carlossanchezbo	36	ES	-3.55069255829	40.3960266113	n	rare
betty21breather	-1				n	rare
jsmorrison2	-1				n	rare
allardotter	-1				n	rare
Crind34	-1	PL	19.3777599335	52.1478500366	m	average
bl00mer	-1				n	rare
SadSuicideMusic	19	AE	54.5366439819	23.6847763062	f	many
sjhbartlet	-1				n	rare
zippo420	-1				n	average
Gallian99	-1				n	average
Mi100	-1				n	rare
Shieva93	-1	FI	25.989402771	64.2885818481	n	average
kauannouer	-1				n	rare
Timberlyn0	26	UK	-2.21251177788	54.5608863831	m	rare
SkyHigh--	-1				n	rare
jessemarlin	-1				n	rare
darchibald4	23	CA	-95.9133224487	62.8329086304	m	average
caseysousa	33	US	-98.9573364258	39.4432563782	m	average
Nick_Hedjo	28	RU	103.753982544	63.1251869202	m	average
marinedelatrine	-1	FR	2.33826231956	46.6372795105	f	rare
ajbasel	-1				n	average
TimeRewinder	35	AT	14.1402111053	47.5884399414	m	average
8erbahn	-1				n	rare
Marcos81sc	30				m	rare
Zzini	-1	FR	2.33826231956	46.6372795105	m	average
Excubitor666	-1	DE	10.3822031021	51.2024650574	m	average
markeline	32	NL	5.52815723419	52.3422584534	m	rare
ponpontus	-1				n	rare
BloodPleasure	20	DE	10.3822031021	51.2024650574	m	average
kurik956	-1				n	rare
Panda-kun99	16	RU	103.753982544	63.1251869202	f	average
decio92	21	BR	-52.9731178284	-10.8104515076	m	average
Peter_Johns	-1				n	rare
Tummer1	25	UK	-2.21251177788	54.5608863831	m	average
Groofin	-1				n	rare
geismala	-1				n	average
cpuyear	-1				n	rare
adidas-25	24	DE	10.3822031021	51.2024650574	m	average
bnewcomer1776	-1				n	average
bloocoop	-1				n	rare
zahirroehrs	-1				n	rare
jay_gomes	19	BR	-52.9731178284	-10.8104515076	m	average
Crusader_72	40	SE	16.7980594635	62.6749725342	m	average
imchrxme	-1				n	rare
Baranel	-1				n	rare
ADAM2030	-1				n	rare
ch-ch-ch-chia	-1				n	rare
ksugelko	-1				n	many
sarahlsteele	-1				n	rare
GregorMacGregor	-1				n	average
hipslike	24	US	-98.9573364258	39.4432563782	n	rare
lowcaiii	-1				n	rare
catachrestic	34	US	-98.9573364258	39.4432563782	m	average
Aikanaro_Celta	24	BR	-52.9731178284	-10.8104515076	m	many
al_treilea_ochi	23	BE	4.64150238037	50.6489639282	f	average
smolix	-1				n	rare
KlausderblaueRi	-1				n	rare
zakarias57	-1				n	rare
seclow	-1				n	rare
ADAMXVI	35	US	-98.9573364258	39.4432563782	n	average
gerry_boys	36				m	rare
aimtastic	-1				n	rare
ArtGuero	-1				n	rare
liciavershawn	-1				n	rare
marttass	21				m	rare
VitaliyZozulya	23	UA	31.4757823944	48.9265632629	m	average
ceoln	-1	US	-98.9573364258	39.4432563782	n	many
brodyk2012	-1				n	rare
thequeenerika	23	BR	-52.9731178284	-10.8104515076	f	rare
Marwicha	21	GL	-41.0898895264	74.3495483398	f	many
resulo	-1				n	rare
emiliewey	-1				n	rare
andrewbifulco	23	US	-98.9573364258	39.4432563782	m	rare
AlexPospelov	19	RU	103.753982544	63.1251869202	m	rare
RasmusSars	-1				n	rare
bp44	48	RU	103.753982544	63.1251869202	m	rare
DeWanneslfm	-1				n	rare
motoboy4ever	-1				n	rare
marta1111111	-1				n	rare
NatishaBeck	18	RU	103.753982544	63.1251869202	f	rare
Amonroe18	-1				n	rare
Lesdum	25	CN	103.97543335	36.5530853271	m	rare
otovarbernal	41	CO	-73.2779693604	3.99760723114	m	rare
Alex2862	-1				n	rare
SweetRon61	-1	US	-98.9573364258	39.4432563782	n	rare
earwaxyeah	-1				n	average
jamesbingham1	-1				n	rare
alecharrison	18	CA	-95.9133224487	62.8329086304	m	power
juliusmindless	18	ID	115.418998718	-1.24808907509	m	average
Borander	19	NO	14.8999252319	66.7666702271	m	average
Anurous	20	PL	19.3777599335	52.1478500366	f	many
cayetano2010	-1				n	rare
eirkra	-1				n	rare
marinos91	21	UK	-2.21251177788	54.5608863831	m	rare
Jonkeper	-1				n	average
jim_kennedy1125	-1				n	rare
KasparBruus	19	DK	9.55590724945	56.1017608643	m	average
FJerusalem	-1				n	rare
weyria	-1				n	rare
introgenesis	20	BY	28.0540943146	53.54347229	n	many
Grobbs19	20	UK	-2.21251177788	54.5608863831	m	average
powpow3	-1				n	rare
MatrasSoul	23	BY	28.0540943146	53.54347229	m	average
AlexMaskill	20	UK	-2.21251177788	54.5608863831	m	average
nipsey502	-1				n	rare
KaitlinStong	-1				n	average
Dal1974	-1				n	rare
dnssweden	-1				n	rare
guillerclk7	25	ES	-3.55069255829	40.3960266113	m	average
eyebrowbob	-1				n	rare
Rasdor	-1				n	average
Hallowfield01	-1				n	rare
naoky16	-1				n	rare
Alexandriale	23	US	-98.9573364258	39.4432563782	f	rare
welshalien	-1	UK	-2.21251177788	54.5608863831	m	rare
Zeitwanderer	47	DE	10.3822031021	51.2024650574	m	average
bep123	-1				n	rare
DWDisease86	25	US	-98.9573364258	39.4432563782	m	rare
Marco_Rengel	26	EC	-78.8710403442	-1.42152893543	m	power
pietjeschat	-1				n	rare
juefink	-1				n	rare
Pcmike666	-1				n	rare
AndreaGinger	22	IT	12.4938230515	42.7669792175	m	many
Nuclear-Guru	22	UK	-2.21251177788	54.5608863831	m	average
echelon-luis	19	CO	-73.2779693604	3.99760723114	m	average
khasmadeign	-1				n	rare
sweaj1	-1				n	rare
cecois	-1				n	many
JohnNeonTiger	19	US	-98.9573364258	39.4432563782	m	average
joshesslinger	-1	US	-98.9573364258	39.4432563782	m	average
Mikce	-1				n	rare
GeisaPiresN	18	BR	-52.9731178284	-10.8104515076	f	rare
ALM16774421	-1				n	rare
Applewhite-	15	CL	-71.6746749878	-35.7862281799	n	rare
darindwarf	-1				n	average
capitano63	-1				n	rare
joyfuljasper	-1				n	average
marne_rue	-1				n	rare
BlindPear	-1	PL	19.3777599335	52.1478500366	f	average
raudeoud	-1				n	rare
aeonapocalypse	-1	US	-98.9573364258	39.4432563782	m	many
fercontlob	-1				n	rare
AtramentalMusic	-1				n	rare
azmanabaz	-1				n	rare
Anscs	-1	BR	-52.9731178284	-10.8104515076	n	average
FickleDickory	20	US	-98.9573364258	39.4432563782	m	average
Tribus1983	28	PL	19.3777599335	52.1478500366	m	many
atomicvampire	33	US	-98.9573364258	39.4432563782	m	rare
petrie21	-1				n	rare
bdgallof	41	US	-98.9573364258	39.4432563782	m	rare
AMonerris	-1				n	rare
markgarbers	-1				n	rare
Diegoturqo	-1				n	rare
gasriell	-1				n	rare
jonathansamuel	-1				n	rare
BrynTaylor	-1				n	rare
telmotel	-1				n	rare
voodooangel63	-1				n	rare
carleko	47	UK	-2.21251177788	54.5608863831	m	rare
Risy009	21				m	power
-BaiChi-	23	PL	19.3777599335	52.1478500366	f	power
DarrenBishop	30	UK	-2.21251177788	54.5608863831	m	rare
barryjamesmusic	-1				n	average
jonaslier	-1				n	average
l1c001	18	HR	15.734503746	45.4443054199	m	average
MisterJukkaSixx	15	HR	15.734503746	45.4443054199	m	rare
Last_Jenny	19				f	average
AriAa	-1	FI	25.989402771	64.2885818481	m	average
Tonni_Dobriy	-1				m	rare
carkneps	-1				n	rare
Hodneirik	23	NO	14.8999252319	66.7666702271	m	many
Akairis	28	US	-98.9573364258	39.4432563782	f	average
Arciah	29	US	-98.9573364258	39.4432563782	m	many
alphy112	-1				n	rare
lolo_pepe	21	RU	103.753982544	63.1251869202	m	average
JCaussade	-1				n	rare
ErotiqueVoilee	-1	HR	15.734503746	45.4443054199	f	rare
Roll_Mann	22				n	many
teenagewh0re	-1				f	rare
belfranco	16	BR	-52.9731178284	-10.8104515076	f	many
MasterGate	27	SE	16.7980594635	62.6749725342	m	average
ToulikiPoom	19	PL	19.3777599335	52.1478500366	f	rare
Xyrcon	27	PL	19.3777599335	52.1478500366	f	many
clifford_clavin	-1	TR	34.9303398132	39.0510101318	n	many
randori	32	US	-98.9573364258	39.4432563782	n	average
jeeppi	-1	FI	25.989402771	64.2885818481	n	rare
MichaelThor	51	DK	9.55590724945	56.1017608643	m	average
jakelanoue	-1				n	average
StoneBreaker92	20	UK	-2.21251177788	54.5608863831	m	average
stickywicket26	-1				n	rare
vdosev	-1				n	average
Noice_	20	SE	16.7980594635	62.6749725342	f	many
Murnet	28	GB	-2.21251177788	54.5608863831	m	average
bananataters	-1				n	average
jezemabel	27	AU	134.504119873	-25.5852413177	f	average
ArsonDeath	17	RU	103.753982544	63.1251869202	f	rare
Metsavaikus	-1	RU	103.753982544	63.1251869202	n	average
dcj2352	-1				n	rare
Uffmann	-1				n	rare
bless_ewe	36	AU	134.504119873	-25.5852413177	f	rare
jonasmager	-1				n	rare
llandshark	-1				n	average
wwalert	-1	RU	103.753982544	63.1251869202	m	rare
eman005	-1				n	rare
fernandodasilva	23	BR	-52.9731178284	-10.8104515076	m	average
dougdanley	-1				n	rare
iNflz	-1	RU			m	
Ninovadachkoria	-1				n	rare
andybarrandy	-1				n	rare
bbj-83	-1				m	rare
Mely_Skye	-1	US	-98.9573364258	39.4432563782	f	rare
Matiz-kwak	21	PL	19.3777599335	52.1478500366	m	average
aniika2	-1	PL	19.3777599335	52.1478500366	f	rare
skeltic101	-1				n	rare
supadupachupa	41	AU	134.504119873	-25.5852413177	m	rare
tcscas	-1				n	rare
chaoticboris	22				m	rare
ayew420	-1				n	rare
lyricalnpoetic	-1				n	rare
Khalym	-1	NO	14.8999252319	66.7666702271	m	rare
jm465	-1				n	rare
stasiyaasya	18	RU	103.753982544	63.1251869202	f	rare
RachSparkles	-1				n	rare
Maennilein	-1				n	rare
hitthestuff	-1				n	rare
KostasXIV	26	GR	21.8974094391	39.6843719482	m	average
ScottDamn5786	-1				n	rare
lyndsay62	-1				n	rare
geppe99	-1				n	rare
Dj_Yoru	-1	IT	12.4938230515	42.7669792175	m	rare
crimsonGOON	19				m	rare
aahrends	-1				n	rare
ctuffin	-1				n	rare
walnutc	-1				n	rare
Deovi	25	US	-98.9573364258	39.4432563782	m	average
DaPalmeraGuy	19				m	rare
TilliWeisman	-1				m	many
vokovoko	-1				m	rare
SvennikJr	-1				n	average
88bonzo	24	PL	19.3777599335	52.1478500366	m	power
BBQezel	23	BE	4.64150238037	50.6489639282	m	power
andygonsalves	-1	US	-98.9573364258	39.4432563782	m	many
ardomorales	-1				m	average
hoost489	-1				n	rare
hadman3	-1				n	rare
johana_na	-1				n	rare
guaria52	53	US	-98.9573364258	39.4432563782	f	rare
Dampfschifff	-1				n	rare
fumandoperas	-1				f	rare
crosbysleftear	30	UK	-2.21251177788	54.5608863831	m	rare
harryr91	-1	US	-98.9573364258	39.4432563782	m	average
MakaveliCruc	-1				m	many
DumDrummer	-1				n	rare
radiohead_fan8	18	PL	19.3777599335	52.1478500366	m	average
RihJackson	17	DE	10.3822031021	51.2024650574	f	average
dima_batt	-1				m	rare
VTaski	19	FI	25.989402771	64.2885818481	m	rare
Fer23	-1				n	rare
BAGlade	17	US	-98.9573364258	39.4432563782	f	average
cheyulia	19	RU	103.753982544	63.1251869202	f	average
LutJake	-1				n	rare
HelloPolly	28	ID	115.418998718	-1.24808907509	f	average
jazzbearken	-1				n	rare
foureyes1967	-1				n	rare
andudu23	-1				m	rare
Guit4r7	17	DE	10.3822031021	51.2024650574	n	rare
palolabo	-1				n	average
andy_paul	29	UK	-2.21251177788	54.5608863831	m	many
Lunaedies	-1				n	rare
LD_Rudeboy	39	NZ	170.354156494	-44.0562934875	m	average
elizabetharynn	-1	US	-98.9573364258	39.4432563782	f	average
Blossomout	-1				n	rare
Nat_n888	22	RU	103.753982544	63.1251869202	f	average
e_dooo	-1				n	rare
pablitoac	28	BR	-52.9731178284	-10.8104515076	n	average
LouUndead	22				f	average
CorporalSully	-1				n	rare
taylormarek	23	US	-98.9573364258	39.4432563782	m	average
TonyZeTiger	22	SI	14.8206644058	46.1202392578	m	many
evabronkie	-1				n	rare
bankssi0	-1				n	rare
thatguy_55	-1				n	rare
texizboy	-1	US	-98.9573364258	39.4432563782	m	rare
carolyndnc	-1				n	rare
saxguy923	-1				n	rare
marksganzemusik	-1				n	average
BboyStrelok	20	RU	103.753982544	63.1251869202	m	power
evinegeli	-1				n	rare
Boxhmaster	20	DE	10.3822031021	51.2024650574	m	average
amandalvs	20	BR	-52.9731178284	-10.8104515076	n	average
Bigbadtroll	-1	HU	19.4165744781	47.1657333374	m	rare
marypetqueenie	15	ES	-3.55069255829	40.3960266113	f	average
AvramYU	25	RS	20.797958374	44.2329711914	m	average
Aguero182	-1	PL	19.3777599335	52.1478500366	m	average
Vermeule	-1				n	rare
adrian15rr	-1	ES	-3.55069255829	40.3960266113	n	rare
cmavfc15	19	UK	-2.21251177788	54.5608863831	m	average
playjack	-1				n	rare
Blackeden11	29	ES	-3.55069255829	40.3960266113	m	average
clarabjerhag	-1				n	rare
MKreibich	-1				n	rare
georgie_elr	-1				n	rare
CanerUgurlu	26	TR	34.9303398132	39.0510101318	m	average
ackenpacken	-1				n	average
cgice	-1				n	rare
Ramseus	22	CA	-95.9133224487	62.8329086304	m	average
jpgrimes22	-1				n	rare
Ifelsberg	-1	DE	10.3822031021	51.2024650574	n	rare
siniyby	21	BY	28.0540943146	53.54347229	m	average
SordiMichael	-1	BR	-52.9731178284	-10.8104515076	n	average
barrymacbase	50				n	rare
Blk_H4rt3d_CLvr	-1				n	rare
Aeioun	27	UK	-2.21251177788	54.5608863831	m	rare
Byrial91	21				m	average
alexracoma	-1				n	average
alinunn	-1	GB	-2.21251177788	54.5608863831	n	average
chiphart	43	US	-98.9573364258	39.4432563782	m	average
ornarvaezjr	-1				n	rare
Pixar	25	IR	51.404343	35.715298	m	average
Marlissa94	-1				f	average
BistroBogdan	18	PL	19.3777599335	52.1478500366	m	average
dziobak_89	22	PL	19.3777599335	52.1478500366	m	average
thaislunni	-1				n	rare
christopher_rm	-1				n	power
PenisVagina	-1				n	average
vilkonchus	17	BY	28.0540943146	53.54347229	m	many
DanieleDiSagio	29	IT	12.4938230515	42.7669792175	m	rare
Yuji_Vanilla	21	BY	28.0540943146	53.54347229	f	average
royalsimonboobs	-1				n	average
MrsAzAkers	-1				n	rare
MannyNix	-1				m	many
maikutsaiku	-1				n	average
Rovercy	-1				n	average
Simmonch	-1				n	many
AWild72	-1				n	rare
jkelpin	-1				n	average
_zep_	-1				n	rare
chicago-boy	-1				n	average
loachy16	22				m	many
npnik	-1				n	rare
norb_31	-1	RU	103.753982544	63.1251869202	m	many
antoine5	29	FR	2.33826231956	46.6372795105	m	rare
Skyth2nd	-1				n	rare
